Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
07/20/2026 23:10:46,System.Runtime,dotnet.process.memory.working_set (By),Metric,131317760
07/20/2026 23:10:46,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,16
07/20/2026 23:10:46,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,198152192
07/20/2026 23:10:46,System.Runtime,dotnet.thread_pool.thread.count ({thread}),Metric,0
07/20/2026 23:10:46,System.Runtime,dotnet.assembly.count ({assembly}),Metric,17
07/20/2026 23:10:46,LXRGC.Bench,operations (Count / 1 sec),Rate,1281
07/20/2026 23:10:46,System.Runtime,dotnet.thread_pool.queue.length ({work_item}),Metric,0
07/20/2026 23:10:47,System.Runtime,dotnet.process.memory.working_set (By),Metric,135733248
07/20/2026 23:10:47,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,194
07/20/2026 23:10:47,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.07650090000000001
07/20/2026 23:10:47,System.Runtime,dotnet.timer.count ({timer}),Metric,0
07/20/2026 23:10:47,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
07/20/2026 23:10:47,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
